User,Events
167608261,"[4002798045, 1271330281, 3229573153, 2132888830, 3680209340, 1838843061]"
168520465,"[3047285147, 1425335642, 3263622673, 2490603461, 263253434, 3429508261, 1133385189, 1212947698, 633659090, 2130616732]"
176349030,"[2824762134, 4133637044, 791187416, 116205891, 4224104772, 3575536012]"
178408585,"[2479111332, 2628680570, 1427467626, 450130761, 2120779072, 3249170164, 1699561506, 3066409179, 2803195749]"
180191037,"[1340225642, 3555408068, 4057581717, 2171670615, 2827721613, 3267801312, 517636552, 442600417, 3153590943, 3492796375, 4250174466, 3375367183, 2491497470, 2286605851, 527677263, 1300982397, 3611020962, 2718272622, 1745394194, 2580599648, 1049315016, 987194908, 2139851240, 3342533717, 746497547, 4275430082, 1035926205, 1656059935, 4241740470, 453613647, 3464625870, 144836311, 273902811, 1690995478, 3260635116, 2241189246, 2586617318, 856829354, 1487776549, 1287096175, 2520708953, 3663077452, 105414247, 3989395314]"
181961047,"[3928440935, 699952923, 4142448875, 473090869, 990606533, 4036898534, 364572656]"
182290053,"[3731940597, 2401458775, 2130616732, 2643833505, 2529072432, 955398943]"
183980147,"[638380151, 628034280, 4195311930, 1710908750, 2905904014, 1677917066]"
188875346,"[3045187509, 146533907, 559618821, 3863879024, 2806565970, 1488068589]"
192951763,"[1641491432, 3626560268, 2259285302, 1154762179, 2927716511, 2368083210, 1527128646, 1205670273, 719337372]"
195055182,"[1466704967, 2829598154, 2438057172, 2913407142, 460112184, 353933726]"
207382248,"[1252467098, 4190936606, 3424643087, 2178346412, 1219797368, 2700675460, 3315807711, 3770158409, 457574593]"
207614139,"[870899349, 1397515488, 627952525, 2378205890, 2671682966, 188202951, 1051329292, 422777830, 1421721293, 3305677128, 3900897464, 1506510838, 3323741493, 1128270383, 3338909495, 3523548061, 3208056309, 910713526, 3251235057, 1941775540, 1748949720, 2411388169, 4170509642, 446911604, 4041957671, 2847457373, 104070, 4217652951, 2090096046, 3870329460, 1258222204, 4007892577, 2689936663, 4200813892, 361866379, 4275430082, 2896451394, 610427555, 1035926205, 722924797, 882329142, 4097912049, 2384130097, 655514048, 667664881, 3628169071, 3631925742, 3073190206, 3084875554, 2680798411, 951253136, 2006849293, 3218113289, 2485173442, 2878945881, 850932284, 1427701461, 1507489572, 2057236313, 4092123930, 2374301539]"
211046503,"[1845786756, 2352676247, 1859823732, 2993316611, 1922937308, 4203627753, 152418051]"
212922688,"[3779243813, 1060275544, 2923175068, 1776393554, 588161010, 915403718]"
214127647,"[3232226488, 1553171836, 536059045, 2374000439, 2246509963, 3576964854, 843844488]"
215509633,"[1201353948, 2095651101, 2453084502, 1942535569, 3964744624, 1665697394]"
216180088,"[2569748465, 4227563271, 1620441934, 642644408, 633659090, 2130616732]"
216475936,"[2916384076, 2120779072, 2628680570, 3395117104, 1776393554, 915403718]"
218125888,"[1352928000, 2473561029, 2482084054, 2374825098, 1960313393, 714391510]"
221717938,"[3708050271, 2626284779, 455681982, 2724704266, 173873072, 670911742]"
222319155,"[1262111436, 4070745483, 2007279414, 236468864, 2528133963, 2445964998, 810618772, 1269035551, 1816813281]"
223257533,"[318178573, 1845786756, 989190365, 1597380017, 650745497, 4232519602]"
223726744,"[4014751562, 324581869, 3570065282, 53377121, 4024909366, 3388406764]"
227195072,"[643346765, 2627346430, 4200394007, 1390707377, 1332759137, 719337372]"
227629516,"[4118034742, 2558187761, 291670090, 137370544, 2139975650, 2193202466]"
233871977,"[3846588922, 3135302883, 110436673, 2913407142, 1900273727, 2415873572, 2806565970]"
237595480,"[3211583806, 3691099181, 3911584808, 2098413475, 3352558065, 798216299, 3830149886]"
240047100,"[4084837460, 2286605851, 463677310, 2779143636, 1960796894, 3751052678, 153563227]"
242737714,"[4219250662, 1100158098, 2695404171, 1486375750, 1061411905, 601922837]"
253594379,"[4002702641, 52238789, 3643219070, 959956049, 2126954914, 1771863286, 753115138]"
254874841,"[800817451, 3984402070, 2246530176, 2484041898, 4070118191, 1182519871]"
256035140,"[1752177173, 3868972599, 2401458775, 2643833505, 771676713, 907302600]"
265212492,"[643346765, 3868972599, 1242409753, 730958187, 2490603461, 642644408, 1390707377, 1332759137, 2643833505, 2130616732, 1532377761, 907302600, 2529072432, 955398943]"
269394305,"[829096016, 4201499448, 839969661, 3686258067, 353933726, 2415873572]"
282335733,"[2075203466, 2081433153, 3631375832, 389352533, 3282413042, 1819771813, 1498021187, 1498021187, 2818297089, 2460469485, 1757785738, 2952103933]"
282865908,"[491217075, 1542554878, 2639713154, 2692716579, 2956620650, 1529892177]"
283032695,"[3048578499, 2007279414, 782683695, 3950589515, 2073609284, 952519340]"
285396757,"[1444394097, 965900163, 1397855471, 1447796967, 2437756221, 2355645674, 62454085]"
293229720,"[960369551, 1471140446, 3735036412, 861118590, 2529072432, 955398943]"
293887296,"[1196882187, 2279603197, 2175450462, 3601196821, 1255629030, 3480624055]"
308413891,"[650745497, 2668074570, 1845786756, 3339219031, 3433414618, 1597380017, 3984042837]"
312929114,"[1014040686, 1619124698, 3771678348, 2677373659, 635082373, 2434392105]"
316066613,"[815464504, 352751137, 1044854627, 2142755647, 1532377761, 1600413013, 955398943]"
320069736,"[418356174, 382018152, 330901309, 566911676, 771191112, 1969654251]"
320767777,"[953356488, 2526340332, 3331152144, 3557047071, 3663891590, 2153037761]"
322208106,"[3355635947, 4093453508, 893326926, 1771863286, 1733693317, 587628640]"
324467789,"[4058794884, 2490483153, 3352525870, 2977166421, 1361307272, 2529072432]"
332906681,"[2457518837, 2292989534, 65967887, 1383961059, 25712446, 1953910932, 2876312334, 496222761]"
352560129,"[695330828, 2615982486, 3213069097, 2625858033, 1468625690, 1680782785]"
355445705,"[2173608003, 2178047697, 411244492, 2781631934, 1267505164, 2491808242]"
356982085,"[2007279414, 1151525474, 4244463632, 1203717384, 2498491194, 2073609284]"
367845178,"[2007279414, 1902753965, 1151525474, 1269035551, 2149464820, 1203717384, 2498491194]"
369085214,"[680133573, 278754212, 2588481601, 2272220944, 3857059746, 205658920]"
378788595,"[3048578499, 2007279414, 268233790, 3950589515, 1451401793, 1269035551, 3849306291]"
380985803,"[2007279414, 268233790, 1269035551, 2149464820, 3849306291, 3103100779]"
393556601,"[511414715, 1909674835, 2521530848, 1311175038, 4268612133, 224130184]"
394596900,"[2463095611, 3355352784, 3334994462, 1872379613, 3502397803, 3600661659, 3403063185, 1487572967, 1361741648, 1516435079, 2164892567, 1329734614, 999921036, 3735036412]"
395260483,"[2428145712, 675888033, 2168553474, 4203627753, 4125420656, 899234866]"
396008921,"[739617054, 2338976654, 3359524298, 1689486051, 1205670273, 719337372]"
400629571,"[2532840945, 1586739051, 1572089933, 249613929, 3095369567, 1525583872, 3656509214, 108743814]"
400738124,"[810563397, 2754334442, 2104037286, 3236930768, 2434297340, 3791528158]"
402625828,"[2168006553, 2398475187, 867618575, 915403718, 2979828712, 1448086840]"
403920458,"[3352427003, 3476820940, 697614185, 1853069366, 2401113510, 3925067644]"
404226314,"[3929507420, 2218325768, 230117918, 1731351853, 2652503309, 496131340, 1205670273]"
423190387,"[4253067577, 1092072561, 1044854627, 2763790767, 1532377761, 1600413013, 955398943]"
424866781,"[2262994085, 3632072502, 3926022702, 1390707377, 1532377761, 2529072432, 955398943]"
428619631,"[3858223520, 22235632, 1028836917, 1395640727, 330268607, 3565166403, 1205670273]"
430443066,"[1773230862, 1003581545, 2618739853, 1673895160, 2645454646, 1471140446]"
431992802,"[3385444012, 3222968781, 4128174743, 2753607556, 1482566945, 1181449211, 2659763559]"
432362044,"[2476622244, 655973227, 2584922845, 3977593907, 2391976137, 3403133817]"
433510318,"[2007279414, 3309338938, 4244463632, 1844176380, 3103100779, 952519340]"
436276762,"[673098017, 2007279414, 2418142030, 1269035551, 3849306291, 1076364848]"
441120644,"[430455309, 4205761284, 3194920967, 3737890862, 3730940322, 2662849125, 2689439975]"
442080465,"[2007279414, 2549322104, 3776957253, 1269035551, 1076364848]"
454881517,"[2338976654, 3523215136, 2279381833, 3254991059, 3830416827, 3875231517, 719337372]"
455279111,"[3643976476, 1774186113, 1802112841, 703064173, 1988626107, 3505964751, 2724103445, 1085187036]"
457159668,"[2689622376, 1948173913, 2811328031, 1635880727, 221202458, 1205670273]"
457456094,"[1728390960, 2994891113, 3691092140, 1886452892, 2126954914, 753115138, 4158859973]"
460024134,"[620729001, 3417330881, 2856764723, 818027743, 927649908, 899668139, 783839520, 3399301092, 955398943]"
462450211,"[4194316975, 2860184053, 4131245770, 2320194649, 2534729330, 186124210, 2477995738, 3950787980]"
465739517,"[2379766619, 3526163305, 1933542442, 268233790, 1076364848]"
469116393,"[333290432, 568700686, 1693723804, 1744782612, 2042699691, 3491186803]"
473558899,"[3048578499, 2007279414, 1270020700, 1269035551, 2149464820, 1203717384, 1076364848]"
474339142,"[3378996021, 4183789134, 3403063185, 2717151070, 3528817063, 2530774373, 3130359578, 2415873572]"
483141559,"[2143656308, 3187773396, 2303635604, 1101073006, 3581275802, 3601943023]"
485626279,"[1845786756, 989190365, 1922937308, 1421210499, 4232519602, 152418051]"
487468823,"[3731945988, 3920130677, 2029179615, 1283564583, 2490233992, 559618821]"
489332113,"[1533039925, 2692655173, 1524039717, 3687051315, 3095347558, 3856018417, 3762897868, 129433063, 3863201568, 1396819417, 600370874, 4220107080, 3380616735, 1805425126, 1631290673, 3026103760, 3826153788, 2536770547, 3194641622]"
491496715,"[244220291, 889048145, 3061997378, 3680209340, 3789029184]"
491840802,"[1211578449, 4280897548, 4072954907, 891266900, 25927492, 1801025265]"
498762190,"[1549968811, 3799396636, 1448478614, 1394911305]"
500590864,"[4087098830, 2007279414, 1203717384, 268233790, 2345395514, 2149464820]"
502787831,"[2428145712, 1501679119, 3841472085, 3984042837, 152418051]"
504326263,"[2471195693, 3790866767, 3320505228, 745914541, 2920431298]"
507590029,"[2978312627, 87962584, 130493588, 3199229320, 745914541, 93291131, 622003251, 2153037761]"
507841367,"[585602638, 4002702641, 3437341442, 2193505055, 2422059390, 2092805628]"
511678471,"[1138354613, 1557387709, 4006924083, 313343082, 2437630462, 2601678976, 1583917689, 3932617564, 2936461848, 4163453351, 1261820355, 2839787601, 2608367718, 1995705410, 1159109322, 1764873344, 1578063348, 1600413013, 955398943]"
513061191,"[98243387, 591309308, 1145767321, 776270146, 3227007422, 3581193856]"
515293671,"[3345954341, 4058800014, 738484716, 1270937556, 2374268348, 668426704, 3941967194, 222208452, 2169511921, 1765518101]"
516201949,"[3501509607, 4201499448, 2424242179, 1900273727, 2806565970, 1488068589]"
521412534,"[1353065742, 516796945, 2007279414, 1269035551, 1076364848, 952519340]"
521893181,"[1281642334, 3899655467, 438311948, 1548231595, 1634994103, 4219488434]"
524529500,"[2767814706, 3964060639, 176458041, 2755536008, 177193417, 3863879024]"
532014578,"[2776927174, 2153348068, 602394192, 1600413013, 2529072432, 955398943]"
536673024,"[1466704967, 2120779072, 3581275802, 3395117104, 939765972, 2645301517, 1488068589]"
538998251,"[724636212, 572783070, 236468864, 2232765899, 2567184413, 1940265937]"
541187878,"[3335153331, 3335153331, 3454922346, 3454922346, 3643257179, 3643257179, 1721071411, 1333560242, 1333560242, 1159050153, 1159050153]"
543735376,"[1914791953, 3692401116, 2795993128, 3302719635, 4140154751, 3480624055]"
546007936,"[1517488130, 2774259276, 2873249283, 3314895954, 3359524298, 2763790767, 1600413013, 2529072432, 955398943]"
547127090,"[1672450656, 86565862, 214368201, 905634841, 2970420751, 872988283]"
547302435,"[2915662989, 440098296, 4267869375, 2746202243, 1752177173, 1128274822, 2865762984]"
547476091,"[2227701444, 4217931794, 2183498812, 1983407490, 1234490218, 1915380946]"
554693050,"[3281130769, 1116367368, 3645508095, 1597380017, 799782433, 383607907, 1528500344, 44607617, 3144013743, 152418051]"
555727671,"[711611185, 1641491432, 1569838328, 3632072502, 602394192, 1390707377, 1361307272, 1532377761, 771676713, 2529072432, 955398943, 955398943]"
559905447,"[3968395368, 407061424, 2671865684, 393162138, 131920762, 4021275605, 691689316, 3256009463, 2803195749, 2415873572]"
562762742,"[4133446399, 2121427459, 3174177804, 179656397, 157721960, 2053603846, 1091316601]"
562786011,"[1530709861, 3183605169, 97217712, 2643833505, 1600413013, 955398943]"
567536219,"[1784859939, 1476247853, 801956327, 3191079645, 4150303789, 622559859]"
569486651,"[1494513322, 3349548561, 218221722, 843570927, 2806565970, 1448086840]"
572449222,"[2633697384, 1695480317, 1427376534, 1133385189]"
576889228,"[2007279414, 1203717384, 1269035551, 3849306291, 1076364848, 952519340]"
577206982,"[1677232588, 2730145834, 782675480, 4192218834, 372011842, 2980258101]"
583119832,"[2007279414, 1269035551, 268233790, 3849306291, 1076364848, 952519340]"
587750031,"[2706390147, 3321733695, 1547028922, 2564031643, 1660105886, 3435033871, 3791426953]"
588243849,"[3586716479, 2450977738, 2544203918, 3316899955, 757304272, 2320364565]"
589386328,"[4156197678, 2507341919, 3057888073, 3705934603, 1075725585, 2529072432]"
589868615,"[2363524424, 2678142390, 1301375747, 3392685835, 1428217058, 1272683540]"
592689052,"[1518530087, 2235632935, 2452199743, 3875424137, 3342862156, 2528115823, 1862794029, 582672945, 602394192, 1600413013, 2529072432, 955398943]"
594741805,"[2193311387, 1215834685, 2338976654, 3648914854, 221202458, 1205670273]"
599785185,"[1914791953, 88942214, 2803195749, 2131811948, 4140154751, 196335814]"
601185173,"[2007279414, 2417896230, 516796945, 1902753965, 1269035551, 952519340]"
602148753,"[2007279414, 3950589515, 910169576, 3849306291, 2073609284, 952519340]"
603202352,"[2937430689, 2952486098, 1093614806, 3381657063, 1320887529, 882150572]"
606767550,"[1674888438, 171025395, 1584496408, 812516824, 4188214514, 955398943]"
607394331,"[1450715141, 2435374903, 3515598845, 119750609, 294664137, 1857900197, 897667289]"
609504174,"[127757681, 517558243, 3776957253, 1902753965, 1269035551, 1076364848]"
611059554,"[3329773282, 1222992905, 2899306830, 1441699239, 3812153136, 897667289]"
611791560,"[2384544175, 1518530087, 4112975226, 2125679242, 1556475107, 4162137499]"
617013723,"[1237174145, 416081328, 878979384, 3857673752, 4058829330, 897667289, 221202458, 955398943]"
618158373,"[414842182, 1223420734, 2458488006, 2354857659, 98978060, 1448086840]"
620761021,"[3048578499, 2007279414, 268233790, 4244463632, 3849306291, 1203717384, 1816813281, 952519340]"
629450757,"[2605913428, 1155472355, 3655295959, 2093319113, 2529072432, 955398943]"
632808865,"[1179651886, 369518307, 1436244041, 1436244041, 4021003478, 3149276646, 3122144172, 1007958512, 4099353109, 1777515147, 2763545469, 2663939214, 4231864079, 2845303452]"
634885878,"[566999193, 240779043, 1656987460, 2576330471, 2501395085, 4138736243]"
635387882,"[1214944988, 423625913, 3926217735, 1090232199, 1953860425, 2025136511]"
637288269,"[989778450, 211705000, 3194427881, 82067590, 1270187219, 3536174216, 4060638267, 24198566, 1102811972, 1113399408, 2184211588, 1368421884]"
638210143,"[2922254733, 4034103347, 2251550828, 3908056289, 2424645360, 2119230408]"
639318962,"[763000217, 1713695535, 310352532, 2745787469, 1638217350, 3360357269]"
640531312,"[2007279414, 2417896230, 3048578499, 3103100779, 268233790, 2498491194, 2073609284, 952519340]"
640550522,"[3010455159, 2497077318, 650834187, 354604902, 2900759497, 914475803, 1900273727, 2389263741, 2806565970, 97217712, 2415873572]"
645859586,"[1357625745, 562418181, 3992564419, 275278465, 4279419003, 746553995, 1720927892]"
648323757,"[2337118881, 15160790, 1140450948, 1724912572, 1068825763, 2325542576]"
648889363,"[3610629096, 2224313777, 1421349430, 3254991059, 1205670273, 719337372]"
651367901,"[887883465, 314870193, 3208240371, 2835968684, 951253136, 1993452587]"
654235318,"[1081122807, 3501620432, 3557752126, 3183605169, 2490603461, 2986124911]"
656664529,"[1517488130, 4200394007, 705007381, 844299203, 2763790767, 2529072432]"
661907327,"[2007279414, 268233790, 1269035551, 2149464820, 1203717384, 2498491194, 952519340]"
662608699,"[3598658828, 2688159351, 2923324245, 533036818, 1883524093, 3089753442, 2456916148, 2616539931, 2919165814, 1644825434, 3432310055, 3895533864, 2687062464, 1441829270, 402791862, 90454601, 2987370835, 742353739]"
662922355,"[3524825540, 2703345903, 3319862596, 3038741300, 595302748, 2078051662, 1748236069, 2559837086, 3933492324]"
665747414,"[2167106569, 2305662938, 1901044782, 3761092488]"
666374166,"[3628957138, 1944996876, 899115709, 205295897, 4147201367, 2407779614, 786960145]"
668160678,"[3590775294, 1973598569, 2381400760, 3759077194, 3527259407, 1733435510, 2646392315]"
668356259,"[3572440355, 3887489328, 1296215153, 3293018394, 3779036237]"
670504249,"[1948173913, 2412119621, 141146193, 1769873692, 629780337, 1635880727]"
675129768,"[2237504401, 3793544347, 2073622327, 2872892494, 4193610911, 3735036412]"
677676622,"[3793452317, 1148695493, 1587680670, 2803195749, 4140154751, 3876947098]"
682630586,"[3267243828, 3267243828, 2120812238, 2120812238, 3178399381, 4065180308, 3542369980, 2379329185, 2289794388, 2289794388, 2686956646, 849041503, 96095826]"
683588589,"[2373204206, 1502284248, 3312755383, 970593998, 3980859647, 3359524298]"
684722612,"[140337530, 2262994085, 2212943097, 2652552299, 559618821, 1488068589]"
685448397,"[2007279414, 122289878, 2996923495, 1269035551, 2149464820, 1076364848]"
685468996,"[2221840547, 2717825157, 737023160, 2971070181, 3151112796, 3634650435]"
685933857,"[4261753049, 2661533426, 3268675447, 843844488, 542538548]"
687595500,"[1232655838, 2761684874, 622943286, 427450245, 1170318717, 2301324542]"
691313196,"[3864843980, 2465528861, 3327259603, 2115491671, 179400585, 3400311907, 1287884858]"
691612308,"[226975938, 3394798379, 2489566262, 1801721571, 3698848785, 68667425, 268669105, 727153687, 3519001045]"
693535188,"[3309338938, 2007279414, 1203717384, 1902753965, 2149464820, 952519340]"
693819894,"[2105109527, 3920286067, 1629910947, 110980591, 321086300, 1699561506, 1241270051]"
696967670,"[3692401116, 587250937, 4018813378, 2699244401, 3302719635, 3768450121, 2803195749, 3968395368]"
699420462,"[1641491432, 3632072502, 2782403445, 1390707377, 1532377761, 719337372, 1600413013, 2529072432, 955398943]"
703001700,"[2976972203, 3830485621, 178719942, 178596290, 496131340, 655841147]"
703937963,"[3253541195, 2929868541, 1148012652, 3982608480, 1332759137, 2643833505, 2130616732, 633659090]"
707928734,"[4136385770, 1444394097, 874395659, 1460702001, 3728988828, 1935879458, 2698678033]"
712234221,"[3929507420, 3027652675, 480878599, 2509086570, 3720373392, 1205670273]"
713380351,"[2475891235, 1235652015, 1834011436, 422504591, 3188133088, 2315973008]"
713889887,"[3807386691, 1095206162, 2043455253, 1699561506, 1776393554, 741936389]"
717731951,"[2861164727, 1838681075, 1983075438, 1397608202, 2630934781, 321987515, 94072781]"
719203242,"[134992377, 2132445355, 1674506754, 1573313355, 2986124911, 2401458775]"
721089780,"[2099424186, 656598905, 1361741648, 3735036412, 861118590, 1600413013, 2529072432, 955398943]"
730373215,"[2007279414, 3050850143, 3103100779, 1902753965, 1269035551, 2149464820]"
741804596,"[4192985078, 3695530032, 2976928477, 1741520485, 1807765078, 706678111]"
743705823,"[3589430405, 894709654, 2333203361, 390684326, 2644800408, 1687011434, 1773166853, 4010465283, 1852859019, 662043969, 3548695965, 2530285484]"
745331470,"[2832383844, 2066686477, 626740748, 3706170359, 1490707668, 3307369997]"
749863583,"[2090707728, 2618739853, 3609940860, 3177059558, 1602227394, 4193610911]"
757499642,"[246499579, 2763790767, 1390707377, 1532377761, 2529072432, 955398943]"
763615925,"[3786050577, 2676420396, 818179591, 4208179401, 1598393308, 705656477]"
767269269,"[480878599, 1731351853, 4005157099, 3711929027, 3404457955, 3388135408]"
770336801,"[2007279414, 1272961219, 1203717384, 1269035551, 2149464820, 1270020700]"
771577243,"[2031830745, 2117720965, 3769856229, 1465884852, 3901590670, 767327872, 2408466472, 4033110333, 3973045872, 2750813527, 2750813527, 1695649532, 3582524764, 1750345998, 119334177, 798676219, 1262111436, 798676219, 2136330239, 2136330239, 1684651848, 4070745483, 2621315686, 1902753965]"
776025327,"[2218325768, 3102893459, 3334704715, 1859112770, 1304578765, 2224732799]"
778295633,"[3048578499, 2007279414, 268233790, 1269035551, 952519340, 1076364848]"
779605206,"[2305689987, 3944936421, 3757379540, 3181549607, 2245572941, 4024629150, 257054742, 3846957590, 600512901]"
780238213,"[763977262, 613668540, 1625070066, 3411880387, 2630636210, 2338670339]"
781002123,"[3075323799, 1662125407, 3899151655, 4099858050, 506752732, 1538479937, 3964090684]"
782865887,"[1179651886, 1568405953, 1406993074, 3668560930, 2046854471, 426166781]"
786844289,"[1551669059, 1113038458, 474836054, 4249956372, 1797539974, 4270139223]"
795601011,"[1909674835, 3612456671, 2258735616, 3260635116, 2024657740, 1084484301]"
801374963,"[1659188708, 3446902030, 507144748, 1919281202, 480523741, 3258819416]"
802688704,"[235476646, 804619862, 3206828033, 3520307709, 2670583521, 720575893]"
806246894,"[2007279414, 4080944038, 1203717384, 1269035551, 2149464820, 1816813281]"
806278943,"[3017912486, 3616067928, 725381690, 191855551, 2979120733, 2141807420]"
813611885,"[1869445239, 1972100454, 2532068732, 3442103541, 549564247, 153355426, 2988315064, 2036538169, 2436304773, 679447655, 1206835239, 2129918320, 2704757206, 1146130134, 1862970065, 2956336268, 3693396474, 1137824063, 102886106, 3708212410, 2792940011, 3619627962, 3413747696]"
822628520,"[609703506, 2556346032, 3431779223, 1071245956, 2377877379, 2396122429]"
831595223,"[3230602528, 2928497983, 3741067141, 2282291531, 53942731, 3387519234, 1379670967]"
840892479,"[3513514173, 1217700763, 173050491, 2677589486, 3684827284, 2898331095, 1051165850, 18463055]"
840945029,"[402802379, 2989916614, 801531768, 3632072502, 3565166403, 1390707377, 1532377761, 2529072432, 955398943]"
844324358,"[1738149624, 2430405430, 130911918, 3577726402, 1333077999, 3831661369]"
845573336,"[3860304218, 1262111436, 2232765899, 2567184413, 236468864, 1940265937]"
847928412,"[1116079728, 308894612, 1210231744, 3771339943, 354110604, 1595241082]"
851286067,"[688975255, 1340479010, 3000227659, 1382852410, 3770815990, 2912359758]"
